threshold,precision,recall,f1,f2,fpr,specificity,tp,fp,tn,fn
0.05,0.24545454545454545,0.6136363636363636,0.35064935064935066,0.47202797202797203,0.5533333333333333,0.44666666666666666,27,83,67,17
0.060000000000000005,0.24770642201834864,0.6136363636363636,0.3529411764705883,0.4736842105263159,0.5466666666666666,0.4533333333333333,27,82,68,17
0.07,0.2621359223300971,0.6136363636363636,0.3673469387755102,0.48387096774193544,0.5066666666666667,0.49333333333333335,27,76,74,17
0.08000000000000002,0.27835051546391754,0.6136363636363636,0.3829787234042553,0.4945054945054944,0.4666666666666667,0.5333333333333333,27,70,80,17
0.09000000000000001,0.29545454545454547,0.5909090909090909,0.393939393939394,0.49242424242424243,0.41333333333333333,0.5866666666666667,26,62,88,18
0.1,0.33766233766233766,0.5909090909090909,0.4297520661157025,0.5138339920948617,0.34,0.66,26,51,99,18
0.11000000000000001,0.3380281690140845,0.5454545454545454,0.41739130434782606,0.48582995951417,0.31333333333333335,0.6866666666666666,24,47,103,20
0.12000000000000001,0.34782608695652173,0.5454545454545454,0.4247787610619469,0.48979591836734687,0.3,0.7,24,45,105,20
0.13,0.36363636363636365,0.5454545454545454,0.43636363636363634,0.49586776859504134,0.28,0.72,24,42,108,20
0.14,0.359375,0.5227272727272727,0.4259259259259259,0.47916666666666663,0.2733333333333333,0.7266666666666667,23,41,109,21
0.15000000000000002,0.3492063492063492,0.5,0.411214953271028,0.46025104602510464,0.2733333333333333,0.7266666666666667,22,41,109,22
0.16000000000000003,0.3548387096774194,0.5,0.41509433962264153,0.46218487394957986,0.26666666666666666,0.7333333333333333,22,40,110,22
0.17000000000000004,0.36666666666666664,0.5,0.423076923076923,0.4661016949152542,0.25333333333333335,0.7466666666666667,22,38,112,22
0.18000000000000005,0.3793103448275862,0.5,0.4313725490196078,0.4700854700854701,0.24,0.76,22,36,114,22
0.19,0.3793103448275862,0.5,0.4313725490196078,0.4700854700854701,0.24,0.76,22,36,114,22
0.2,0.3793103448275862,0.5,0.4313725490196078,0.4700854700854701,0.24,0.76,22,36,114,22
0.21000000000000002,0.39285714285714285,0.5,0.44,0.4741379310344828,0.22666666666666666,0.7733333333333333,22,34,116,22
0.22000000000000003,0.3888888888888889,0.4772727272727273,0.4285714285714286,0.4565217391304348,0.22,0.78,21,33,117,23
0.23000000000000004,0.39622641509433965,0.4772727272727273,0.4329896907216495,0.4585152838427949,0.21333333333333335,0.7866666666666666,21,32,118,23
0.24000000000000005,0.40384615384615385,0.4772727272727273,0.4375,0.46052631578947373,0.20666666666666667,0.7933333333333333,21,31,119,23
0.25000000000000006,0.4117647058823529,0.4772727272727273,0.4421052631578948,0.4625550660792952,0.2,0.8,21,30,120,23
0.26000000000000006,0.4,0.45454545454545453,0.4255319148936171,0.44247787610619466,0.2,0.8,20,30,120,24
0.27,0.4,0.45454545454545453,0.4255319148936171,0.44247787610619466,0.2,0.8,20,30,120,24
0.28,0.40816326530612246,0.45454545454545453,0.4301075268817204,0.4444444444444444,0.19333333333333333,0.8066666666666666,20,29,121,24
0.29000000000000004,0.40816326530612246,0.45454545454545453,0.4301075268817204,0.4444444444444444,0.19333333333333333,0.8066666666666666,20,29,121,24
0.30000000000000004,0.40816326530612246,0.45454545454545453,0.4301075268817204,0.4444444444444444,0.19333333333333333,0.8066666666666666,20,29,121,24
0.31000000000000005,0.40816326530612246,0.45454545454545453,0.4301075268817204,0.4444444444444444,0.19333333333333333,0.8066666666666666,20,29,121,24
0.32000000000000006,0.40816326530612246,0.45454545454545453,0.4301075268817204,0.4444444444444444,0.19333333333333333,0.8066666666666666,20,29,121,24
0.33,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.44642857142857145,0.18666666666666668,0.8133333333333334,20,28,122,24
0.34,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.44642857142857145,0.18666666666666668,0.8133333333333334,20,28,122,24
0.35000000000000003,0.425531914893617,0.45454545454545453,0.43956043956043955,0.4484304932735426,0.18,0.82,20,27,123,24
0.36000000000000004,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.37000000000000005,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.38000000000000006,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.39000000000000007,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.4000000000000001,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.4100000000000001,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.42000000000000004,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.4279279279279279,0.18,0.82,19,27,123,25
0.43000000000000005,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.44000000000000006,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.45000000000000007,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.4600000000000001,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.4700000000000001,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.4800000000000001,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.49000000000000005,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.5000000000000001,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.5100000000000001,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.5200000000000001,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.16666666666666666,0.8333333333333334,19,25,125,25
0.5300000000000001,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.5400000000000001,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.5500000000000002,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.5600000000000002,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.5700000000000002,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.5800000000000002,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.5900000000000002,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.6000000000000002,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.4128440366972478,0.16,0.84,18,24,126,26
0.6100000000000001,0.45,0.4090909090909091,0.4285714285714286,0.41666666666666674,0.14666666666666667,0.8533333333333334,18,22,128,26
0.6200000000000001,0.46153846153846156,0.4090909090909091,0.4337349397590362,0.4186046511627907,0.14,0.86,18,21,129,26
0.6300000000000001,0.4473684210526316,0.38636363636363635,0.41463414634146345,0.397196261682243,0.14,0.86,17,21,129,27
0.6400000000000001,0.4473684210526316,0.38636363636363635,0.41463414634146345,0.397196261682243,0.14,0.86,17,21,129,27
0.6500000000000001,0.4473684210526316,0.38636363636363635,0.41463414634146345,0.397196261682243,0.14,0.86,17,21,129,27
0.6600000000000001,0.4594594594594595,0.38636363636363635,0.41975308641975306,0.39906103286384975,0.13333333333333333,0.8666666666666667,17,20,130,27
0.6700000000000002,0.4594594594594595,0.38636363636363635,0.41975308641975306,0.39906103286384975,0.13333333333333333,0.8666666666666667,17,20,130,27
0.6800000000000002,0.4857142857142857,0.38636363636363635,0.4303797468354431,0.40284360189573454,0.12,0.88,17,18,132,27
0.6900000000000002,0.4857142857142857,0.38636363636363635,0.4303797468354431,0.40284360189573454,0.12,0.88,17,18,132,27
0.7000000000000002,0.47058823529411764,0.36363636363636365,0.41025641025641024,0.380952380952381,0.12,0.88,16,18,132,28
0.7100000000000002,0.47058823529411764,0.36363636363636365,0.41025641025641024,0.380952380952381,0.12,0.88,16,18,132,28
0.7200000000000002,0.47058823529411764,0.36363636363636365,0.41025641025641024,0.380952380952381,0.12,0.88,16,18,132,28
0.7300000000000002,0.47058823529411764,0.36363636363636365,0.41025641025641024,0.380952380952381,0.12,0.88,16,18,132,28
0.7400000000000002,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.7500000000000002,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.7600000000000002,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.7700000000000002,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.7800000000000001,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.7900000000000001,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.8000000000000002,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.8100000000000002,0.4375,0.3181818181818182,0.3684210526315789,0.3365384615384615,0.12,0.88,14,18,132,30
0.8200000000000002,0.4666666666666667,0.3181818181818182,0.3783783783783784,0.3398058252427184,0.10666666666666667,0.8933333333333333,14,16,134,30
0.8300000000000002,0.4666666666666667,0.3181818181818182,0.3783783783783784,0.3398058252427184,0.10666666666666667,0.8933333333333333,14,16,134,30
0.8400000000000002,0.4827586206896552,0.3181818181818182,0.3835616438356164,0.34146341463414637,0.1,0.9,14,15,135,30
0.8500000000000002,0.5,0.3181818181818182,0.3888888888888889,0.34313725490196073,0.09333333333333334,0.9066666666666666,14,14,136,30
0.8600000000000002,0.5,0.3181818181818182,0.3888888888888889,0.34313725490196073,0.09333333333333334,0.9066666666666666,14,14,136,30
0.8700000000000002,0.56,0.3181818181818182,0.4057971014492754,0.34825870646766166,0.07333333333333333,0.9266666666666666,14,11,139,30
0.8800000000000002,0.5416666666666666,0.29545454545454547,0.38235294117647056,0.325,0.07333333333333333,0.9266666666666666,13,11,139,31
0.8900000000000002,0.5416666666666666,0.29545454545454547,0.38235294117647056,0.325,0.07333333333333333,0.9266666666666666,13,11,139,31
0.9000000000000002,0.5416666666666666,0.29545454545454547,0.38235294117647056,0.325,0.07333333333333333,0.9266666666666666,13,11,139,31
0.9100000000000003,0.5,0.25,0.3333333333333333,0.2777777777777778,0.07333333333333333,0.9266666666666666,11,11,139,33
0.9200000000000003,0.5,0.25,0.3333333333333333,0.2777777777777778,0.07333333333333333,0.9266666666666666,11,11,139,33
0.9300000000000002,0.5,0.22727272727272727,0.3125,0.25510204081632654,0.06666666666666667,0.9333333333333333,10,10,140,34
0.9400000000000002,0.5,0.22727272727272727,0.3125,0.25510204081632654,0.06666666666666667,0.9333333333333333,10,10,140,34
0.9500000000000002,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.25773195876288657,0.05333333333333334,0.9466666666666667,10,8,142,34
